College Name,Contact no,Email,Website,Address
"IIT BHU Contact Number, Address & Location Map, Varanasi","+91 542 2368427, 6702078, 2368106",director@iitbhu.ac.in,http://iitbhu.ac.in/,Indian Institute of Technology (Banaras Hindu University)  VARANASI u2013 221005 (UP) INDIA
"BITS Pilani Contact Number, Address & Location Map, Pilani",911596244089,admnoc@pilani.bits-pilani.ac.in,http://www.bits-pilani.ac.in/Pilani/,"Birla Institute of Technology & Science, PilaniPilani 333031"
"IIT Guwahati Contact Number, Address & Location Map, Guwahati",+91-361-2690761,pro@iitg.ernet.in,http://www.iitg.ac.in,"Guwahati - 781039, Assam, India"
"NIT Trichy Contact Number, Address & Location Map, Tiruchirappalli","+91-431-2503000, +91-431-2504000",deanap@nitt.edu,http://www.nitt.edu/,"Tanjore Main Road, National Highway 67, Tiruchirappalli - 620015, Tamil Nadu, India."
"IIIT Hyderabad Contact Number, Address & Location Map, Hyderabad",+91-4066531000,query@iiit.net,http://www.iiit.ac.in,"International Institute of Information Technology   Gachibowli, Hyderabad 500 032    Telangana, INDIA"
"IITISM Dhanbad Contact Number, Address & Location Map, Dhanbad",+91-326- 2235001-2235004,dt@ismdhanbad.ac.in,http://www.iitism.ac.in/,"Dhanbad u2013 826004, Jharkhand, India"
"Institute of Chemical Technology Contact Number, Address & Location Map, Mumbai",+91-022-3361 2222,stores@staff.ictmumbai.edu.in,http://www.ictmumbai.edu.in,"Near Don Bosco School, Opp Khalsa CollegeNathalal Parekh MargMatungaMumbai, Maharashtra 400019"
"NIT Mangalore Contact Number, Address & Location Map, Mangalore",+91824-2474000,webteam@nitk.ac.in,http://www.nitk.ac.in/,"National Institute of Technology Karnataka, Srinivasnagar PO, Surathkal, Mangalore 575025, India."
"VELS University Chennai Contact Number, Address & Location Map, Chennai",+ 91 - 44 - 2266 2500 / 2501 / 2502 / 2503,vistas@velsuniv.ac.in,http://www.velsuniv.ac.in,"Velan Nagar P.V. Vaithiyalingam Road Pallavaram Chennai - 600 117 Tamil Nadu, India"
"PEC Chandigarh Contact Number, Address & Location Map, Chandigarh",01722746074,admissionug@pec.ac.in,http://pec.ac.in/,"PEC University of TechnologySector -12,Chandigarh- 160012"
"P.S.G. College of Technology Contact Number, Address & Location Map, Coimbatore",+91-422-2572177,principal@psgtech.ac.in,http://www.psgtech.edu,"Avinashi Rd, Peelamedu, Coimbatore, Tamil Nadu 641004"
"NIT Warangal Contact Number, Address & Location Map, Warangal",+91-870-2462029,nitwadm@gmail.com,http://www.nitw.ac.in/nitw/,National Institute of Technology Warangal Telangana 506004
"Netaji Subhas Institute of Technology (NSIT), New Delhi Contact Number, Address & Location Map, New Delhi",+91-1125099020 (Administration),nsitadmissions@gmail.com,http://www.nsit.ac.in/,"Netaji Subhas Institute of Technology, Azad Hing Fauj Marg, Sector - 3, Dwarka (Pappankalan), New Delhi - 110 078"
"IIT Jodhpur Contact Number, Address & Location Map, Jodhpur",+91-291-2449002,office_academics@iitj.ac.in,http://iitj.ac.in/,"Old Residency Road, Ratanada, Jodhpur, Rajasthan 342011"
"VNIT Nagpur Contact Number, Address & Location Map, Nagpur","+91-712-2222828, +91-712-2224123, +91-712-2231636, +91-712-2226750, +91-712-2223710, +91-712-2236330, +91-712-2236331, +91-712-2236332",dr_acd@vnit.ac.in,http://www.vnit.ac.in,"South Ambazari Rd, Nagpur, Maharashtra, PIN - 440010"
"IIT Bhubaneswar Contact Number, Address & Location Map, Bhubaneswar",91-674-2576019,ar.acad@iitbbs.ac.in,http://www.iitbbs.ac.in/,IIT BHUBANESWARSamantapuri (Rearside of Hotel Swosti Plaza)Bhubaneswar-751 013
"IIIT Allahabad Contact Number, Address & Location Map, Allahabad",+91-532-2922236,np@iiita.ac.in,http://www.iiita.ac.in/,"Devghat, Jhalwa, Allahabad, Uttar Pradesh 211012"
"IIT Patna Contact Number, Address & Location Map, Patna",+91-9021156156,cep.iitp.mes@gmail.com,https://www.iitp-cep.in/ContactUs.aspx,"Continuing Education Programme, 1st Floor, Admin Block, Indian Institute of Technology, Bihta Patna, Bihar 8011062"
"IIT Gandhinagar Contact Number, Address & Location Map, Gandhinagar","+91-78782 51653, +91-79-2395-2051",academics@iitgn.ac.in,http://www.iitgn.ac.in/,"IIT Gandhinagar, Village Palaj, Simkheda, Gandhinagar, Gujarat-382355, India"
"IIT Mandi Contact Number, Address & Location Map, Mandi",91-1905-267015,pavinaas@iitmandi.ac.in,http://www.iitmandi.ac.in/,"Indian Institute of Technology MandiKamand Campus, VPO Kamand,Distt. Mandi - 175005 Himachal PradeshIndia"
"IIT Indore Contact Number, Address & Location Map, Indore",91-731-2438733,dracademic@iiti.ac.in,http://iiti.ac.in/,"Indian Institute of Technology Indore, Khandwa Road, SimrolIndore 452020India"
"NIT Delhi Contact Number, Address & Location Map, New Delhi","011 –33861005, 33861006, 33861010, 33861012",info@nitdelhi.ac.in,http://nitdelhi.ac.in/,"National Institute of Technology Delhi Sector A-7, Institutional Area, Near Satyawadi Raja Harish Chandra Hospital, Narela, Delhi u2013 110040"
"COEP Pune Contact Number, Address & Location Map, Pune",+91-20-25507000,director@coep.ac.in,http://www.coep.org.in,"Wellesley Rd, Shivajinagar, Pune, Maharashtra 411005"
"Birla Institute of Technology (BIT), Mesra Contact Number, Address & Location Map, Ranchi",0651-2275402/2276502,pkbarahi@bitmesra.ac.in,https://www.bitmesra.ac.in/,"Birla Institute of Technology, Mesra,Ranchi, Jharkhand 835215"
"NIT Jalandhar Contact Number, Address & Location Map, Jalandhar",01812690301,director@nitj.ac.in,http://www.nitj.ac.in,National Institute of Technology JalandharN.I.T. Post OfficeJalandhar - 144 011India
"IIT Hyderabad Contact Number, Address & Location Map, Hyderabad",+91-40-23016102,dracad@iith.ac.in,http://www.iith.ac.in/,"Indian Institute of Technology HyderabadOrdnance Factory EstateYeddumailaram 502205Andhra Pradesh, INDIA"
"IIT Ropar Contact Number, Address & Location Map, Ropar","+91-1881-227078, +91-1881-223395",meoffice@iitrpr.ac.in,http://www.iitrpr.ac.in/,"Nangal Road, Rupnagar, Punjab 140001"
"RV College of Engineering Contact Number, Address & Location Map, Bengaluru",080 2656 2386,principal@rvce.edu.in,http://www.rvce.edu.in/,"Mysore Road, R.V. Vidyaniketan post, Bangalore 560059,Mysore Road, R. V. Vidyanikethan Post, Bangalore - 560 059"
"NIT Rourkela Contact Number, Address & Location Map, Rourkela",+91-0661-246-2021,registrar@nitrkl.ac.in,http://www.nitrkl.ac.in/,National Institute of Technology Rourkela - 769008
"IIST Thiruvananthapuram Contact Number, Address & Location Map, Thiruvananthapuram","+91 (471) 2568452, 2568600",admin@iist.ac.in,http://www.iist.ac.in/,"Indian Institute of Space Science and Technology(Dept. of Space, Govt. of India)Valiamala, Thiruvananthapuram-695 547Kerala, India."
"Amity University Punjab Contact Number, Address & Location Map, Mohali","+91-80459-26489, +91-1800-20-26489",admissions@pb.amity.edu,http://www.amity.edu/mohali,"Amity University, Sector 82A, IT City, International Airport Road, Mohali"
"MNIT Jaipur Contact Number, Address & Location Map, Jaipur",+91-141-2529065,webmaster@mnit.ac.in,http://mnit.ac.in/,"Malaviya Nagar on Jawahar Lal Nehru Marg, Jaipur."
"NIT Durgapur Contact Number, Address & Location Map, Durgapur",+913432545290,Deanac@admin.nitdgp.ac.in,https://nitdgp.ac.in,"Mahatma Gandhi Rd, A-Zone, Durgapur, West Bengal 713209"
"Faculty of Pharmacy, Dharmsinh Desai University Contact Number, Address & Location Map, Nadiad",91 268 2520502,vc@ddu.ac.in,http://www.ddu.ac.in,"College Road, Nadiad 387001, Gujrat, India"
"Faculty Council of Engineering & Technology - Jadavpur University Contact Number, Address & Location Map, Kolkata",03324572225,hod@acee.jdvu.ac.in,http://www.jaduniv.edu.in/,"188, Raja S.C. Mallick Rd,rnKolkata - 700032.rn"
"Dibrugarh University Institute of Engineering and Technology Contact Number, Address & Location Map, Dibrugarh",+91 3732370239,registrar@dibru.ac.in,http://www.dibru.ac.in,"Dibrugarh UniversityDibrugarh-786004,Assam, India"
"Indian Institute of Engineering Science and Technology Contact Number, Address & Location Map, Howrah",+91-033-26684561,director_rc@becs.ac.in,http://www.iiests.ac.in/,"PO: Botanic Garden, Dist: Howrah, West Bengal, India - 711103"
"College of Engineering, Andhra University Visakhapatnam Contact Number, Address & Location Map, Visakhapatnam",08912844000/2844197,enquiry@andhrauniversity.edu.in,http://www.andhrauniversity.edu.in/engg/,"Junction, AU North Campus, Visakhapatnam, Andhra Pradesh 530003"
"BIRLA INSTITUTE OF TECHNOLOGY,MESRA ,OFF CAMPUS DEOGHAR Contact Number, Address & Location Map, Deoghar",093346 54856,bitdeoghar@bitmesra.ac.in,http://www.deoghar.bitmesra.ac.in,"P O Ratanpur, Jasidih, Jharkhand 814142"
"SVNIT Surat Contact Number, Address & Location Map, Surat",+91-0261-2259571,adean_sw@svnit.ac.in,http://www.svnit.ac.in,"Gaurav Path, Ichchhanath, Surat, Gujarat 395007"
"COER Roorkee Contact Number, Address & Location Map, Roorkee",+91-7417878331,admission@coer.ac.in,http://www.coer.ac.in,"7th K.M.,Roorkee Haridwar Road (NH-58),Roorkee Haridwar Uttrakhand India"
"MNNIT Allahabad Contact Number, Address & Location Map, Allahabad",2545407,secretary@mnnit.ac.in,http://www.mnnit.ac.in/,"Teliarganj, Allahabad, Uttar Pradesh 211004"
"Swarrnim Startup And Innovation University Contact Number, Address & Location Map, Gandhinagar","+91-7069003003, +91-9228018009",admission@swarrnim.edu.in,http://www.swarrnim.edu.in,"At Post Bhoyan Rathod, Near ONGC WSS, Opp. IFCCO, Adalaj Kalol Highway"
"VJTI Contact Number, Address & Location Map, Mumbai",+91-22-24198101,registrar@vjti.org.in,http://www.vjti.ac.in,"MatungaMumbai, Maharashtra, India 400019"
"Parul University Contact Number, Address & Location Map, Vadodara",+91-2668260312/ 202300307,admissions@paruluniversity.ac.in,http://www.paruluniversity.ac.in/home,"P.O. Limda, Ta.Waghodia - 391760 Dist. Vadodara, Gujarat(India)"
"ABV IIITM Gwalior Contact Number, Address & Location Map, Gwalior",0751-2449801,info@iiitm.ac.in,http://www.iiitm.ac.in/,"ABV-Indian Institute of Information Technology and Management Gwalior, Morena Link Road, Gwalior, Madhya Pradesh, India,474015"
"NALSAR University of Law Contact Number, Address & Location Map, Hyderabad","+91-40-23498200, +91-40-23498400",admissions@nalsar.ac.in,http://www.nalsar.ac.in,"NALSAR University of Law Post Box No.1, Justice City, Shameerpet, R.R. District, Hyderabad - 500101, Telangana."
"Sigma University Contact Number, Address & Location Map, Vadodara","+91-7576176000, +91-2668267000/111",admissions@sigma.ac.in,http://www.sigma.ac.in/,"Bakrol, Ajwa-Nimeta Road, Waghodia, Vadodara 390019"
"IIIT Bhubaneswar Contact Number, Address & Location Map, Bhubaneswar",91-674-2653300,info@iiit-bh.in,http://www.iiit-bh.ac.in/,"IIIT BHUBANESWAR,  GOTHAPATNA, PO: MALIPADA  BHUBANESWAR - 751 003. INDIA"
"Marwadi University Contact Number, Address & Location Map, Rajkot",0281-7123456,info@marwadiuniversity.ac.in,http://www.marwadiuniversity.ac.in,"Rajkot-Morbi Road, Gauridad, Rajkot 360003 Gujarat, India"
"NIT Kurukshetra Contact Number, Address & Location Map, Kurukshetra",+91-01744233208,registrar@nitkkr.ac.in,http://www.nitkkr.ac.in/,"National Institute of Technology, Kurukshetra - 136119, Haryana (India)"
"S S Agrawal College Contact Number, Address & Location Map, Navsari","+91-9924224417, +91-7984497449, +91-9727799770, +91-9427102131",info@ssagrawal.org,http://www.ssagrawal.org/,"S.S.AGRAWAL COLLEGE CAMPUS,Veeranjali marg,Gandevi road,Navsari-396445"
"Ganpat University Contact Number, Address & Location Map, Mehsana","+91-1800 2331 2345, +91-2762-226000, 286080",info@ganpatuniversity.ac.in,http://www.ganpatuniversity.ac.in,"Ganpat University Ganpat Vidyanagar Mehsana-Gozaria, Highway, Kherva, Gujarat 384012"
"MANIT Bhopal Contact Number, Address & Location Map, Bhopal",0755-4051590,nakuldhagat@gmail.com,http://www.manit.ac.in/,Near Mata MandirtBhopal (M.P.) India u2013 462003
"JNTUH College Of Engineering Karimnagar Contact Number, Address & Location Map, Karimnagar",08724 206600,jntuhcej@gmail.com,http://jntuhcej.ac.in/home,"Nachupally (Kondagattu), Kodimyal mandal, Karimnagar Dist. Telangana 505 501 India"
"NIT Hamirpur Contact Number, Address & Location Map, Hamirpur",+91-1972-222308,director@nith.ac.in,http://www.nith.ac.in/,"Hamirpur, Himachal Pradesh, India- 177005"
"Christ College (CC), Rajkot Contact Number, Address & Location Map, Rajkot","+91-9427164732, +91-9427164733",info@christcollegerajkot.edu.in,http://www.christcollegerajkot.edu.in,"P.B.No : 5 Saurashtra University, PO Rajkot - 360 005, Rajkot, Gujarat-India"
"Bihar Institute of Technology Contact Number, Address & Location Map, Dhanbad",0326-2350495,bitsindri.tpo@gmail.com,https://www.bitsindri.ac.in/,"P.O.Sindri Institute-828123 Dist: Dhanbad, Jharkhand, India"
"Vadodara Institute of Engineering Contact Number, Address & Location Map, Vadodara",+91 743 500 1616; +91 743 600 1616,vierorgin@yahoo.com,http://www.vier.org.in,"Vadodara Halol Toll Road, At. Kotambi Ta. Waghodia, Dist. Vadodara, Gujarat Pin-391510"
"MU Indore Contact Number, Address & Location Map, Indore","+91-0731-4259500, +91-07969024444",Admission@medicaps.ac.in,http://www.medicaps.ac.in,"Medi-Caps University A.B. Road, Pigdamber, Rau Indore - 453331"
"K J Somaiya Institute of Engineering and Information Technology Contact Number, Address & Location Map, Mumbai",+91-22-24080331,principal@tech.somaiya.edu,https://www.somaiya.edu/kjsieit,"Somaiya Ayurvihar Complex,rnEastern Express Highway,rnNear Everard Nagar,rnSion (East), Mumbai u2013 400 022"
"IAR Gandhinagar Contact Number, Address & Location Map, Gandhinagar","+079- 6180 4300,/4359,/4363  +91-72777 70757, +91- 72777 70758",admissions@iar.ac.in,http://www.iar.ac.in/,"Koba Institutional Area,  Near GIFT City Bridge,  Gandhinagar- 382426, Gujarat - India"
"NIFFT Ranchi Contact Number, Address & Location Map, Ranchi","0651-2290859,2292006",do.nifftranchi@gmail.com,http://www.nifft.ac.in,"Near Kanchnatoli,  Hatia, Ranchi (Jharkhand)"
"PICT Pune Contact Number, Address & Location Map, Pune",+91-20-24371101,principal@pict.edu,http://www.pict.edu,"Sr. No 27, Pune-Satara Road, Dhankawadi, Pune-411 043, Maharashtra (India)."
"Darshan University Contact Number, Address & Location Map, Rajkot",+91-7096979952/62,info@darshan.ac.in,https://darshan.ac.in/,"Rajkot-Morbi Highway, Hadala, Rajkot"
"NIT Srinagar Contact Number, Address & Location Map, Srinagar",+91-9419010409,ahmir@rediffmail.com,http://www.nitsri.net/,"Hazratbal Rd, Hazaratbal, Srinagar, Jammu and Kashmir 190006, India"
"Pacific School of Engineering Contact Number, Address & Location Map, Surat","+91-9904408835, +91-9904408838",suratpacific@gmail.com,http://www.pacific-soe.ac.in,"Opp Sarthee Township, Near Global International School, Kadodara, Surat - Navsari - Palsana Rd, NH8, Surat, Gujarat 394305"
"Ambedkar Institute of Advanced Communication Technologies & Research (AIACTR), New Delhi Contact Number, Address & Location Map, New Delhi",+91-11-22048045,drait@blr.vsnl.net.in,http://aiactr.ac.in/,"Geeta Colony, Delhi, Delhi, India- 110031"
"Vidhyadeep University Contact Number, Address & Location Map, Surat","+91-7874344176, +91-8141844003",vimat558@gmail.com,http://www.vidhyadeep.org,"Vidhyadeep University, Anita (Kim), Tal: Olpad, Dist: Surat"
"HBTU Kanpur Contact Number, Address & Location Map, Kanpur","+91-512-2534001-05, +91-512-2533812",registrar@hbtu.ac.in,https://hbtu.ac.in/,"Nawabganj, Kanpur (U.P.) - 208 002"
"K R Mangalam University Contact Number, Address & Location Map, Gurgaon",+91-11-4888-4888,welcome@krmangalam.edu.in,http://www.krmangalam.edu.in,"K.R. Mangalam University,  Sohna Road, Gurugram 122103 Delhi - NCR"
"PES University Contact Number, Address & Location Map, Bengaluru",+91-8026724783,admissions@pes.edu,http://pes.edu/,"100 Feet Ring Road, Banashankari Stage III, Bengaluru, Karnataka 560085"
"GSFC University Contact Number, Address & Location Map, Vadodara","+91-2653093740, +91-7573002444",admission@gsfcuniversity.ac.in,http://www.gsfcuni.edu.in/,"GSFC University, Vigyan Bhavan, P. O. Fertilizernagar, Vadodara - 391750, Gujarat, India"
"Bhagwan Parshuram Institute of Technology Contact Number, Address & Location Map, New Delhi",011 - 27572900,bpitindia@yahoo.com,http://www.bpitindia.com/,"PSP- 4, Dr. K.N. Katju Marg , Sector 17 Rohini, rnNew Delhi -110089"
"Veerayatan Group Of Institutions Contact Number, Address & Location Map, Kutch","+91-283-4275261, +91-9879350861",engg.principal@veerayatan.org,http://www.veereng.org/,"Bhuj Mandvi Road, Tal. Mandvi, Kutch - 370460 ,Gujarat, India"
"Er. Perumal Manimekalai College of Engineering Contact Number, Address & Location Map, Dharmapuri",+914344257236,pmctech.engineering@gmail.com,http://www.pmctech.org/,"Hosur to Krishnagiri Highways, Nallaganakothapalli, Near Koneripalli (PO), Hosur, Krishnagiri District, Tamil Nadu - 635 117."
"NeoTech Technical & Management College Contact Number, Address & Location Map, Vadodara","+91-9925807875, +91-9913365000",hodfa@neotech.ac.in,http://www.neotech.ac.in/,"Virod, Harni - Virod road, Vadodara Gujarat"
"HMR Institute of Technology & Management Contact Number, Address & Location Map, Delhi","+91-1127724114-18, +91-8287453693, +91-828746193",admissions@hmritm.ac.in,http://www.hmritm.ac.in,"HMRITM, Plot No. 326, Hamidpur,  New Delhi, Delhi 110036"
"PPSU Surat Contact Number, Address & Location Map, Surat","+91-9879608000, +91-9512035611/ 12/ 13",admission@ppsu.ac.in,https://www.ppsu.ac.in/,"NH 8, GETCO, Near Biltech, Village: Dhamdod, Kosamba, Dist.: Surat - 394125."
"NIEC New Delhi Contact Number, Address & Location Map, New Delhi","+91(11) 49905900-99, 32526261-64, 22854321",info@niecdelhi.ac.in,http://www.niecdelhi.ac.in/,"FC-26, Shastri Park, New Delhi - 110 053"
"SLTIET Rajkot Contact Number, Address & Location Map, Rajkot","+91-7069360064-67, +91-9904544407, +91-9904644407",info@sltiet.edu.in,http://www.sltiet.edu.in,"Kankot, Near Government Engineering College, Kalawad Road, Rajkot 360005"
"Srivenkateshwaraa Group of Institutions, Puducherry Contact Number, Address & Location Map, Puducherry",9884305050,admission@srivenkateshwaraa.edu.in,https://srivenkateshwaraa.edu.in/,"Sri Venkateshwara Group Of Institutions, Ariyur , Puducherry – Villupuram NH-Road, Puducherry"
"TNAU Contact Number, Address & Location Map, Coimbatore",0422 661 1200,management@tnau.ac.in,http://www.tnau.ac.in,"TNAU - RI Block, Tamil Nadu Agricultural University, PN Pudur, Coimbatore, Tamil Nadu 641003"
"SASTRA University Contact Number, Address & Location Map, Thanjavur",+91-0436-2264101 / 2264108,registrar@sastra.edu,http://www.sastra.edu/,"Trichy-Tanjore Road, Thirumalaisamudram, Thanjavur, Tamil Nadu 613401"
"JAMIA HAMDARD Contact Number, Address & Location Map, New Delhi",+91-11-26059694,director_sodl@jamiahamdard.ac.in,http://jamiahamdard.edu,"Mehrauli - Badarpur Rd, Near Batra Hospital, Block D, Hamdard Nagar, New Delhi, Delhi 110062"
"NIE Mysore Contact Number, Address & Location Map, Mysuru","+91- 821 2480475, 821 2481220, 821 2480996",http://www.nie.ac.in/,Mananthavady Road Mysuru - 570008
"NMIMS Mumbai Contact Number, Address & Location Map, Mumbai",+91 – 22 – 4235 5555,enquiry@nmims.edu,https://sbm.nmims.edu/,"SVKM's NMIMS (Deemed to be University) V. L. Mehta Road, Vile Parle, West  Mumbai, Maharashtra, India Pin Code - 400 056"
"College of Technology Contact Number, Address & Location Map, Udham Singh Nagar",+91-5944-233338,dean@gbpuat-tech.ac.in,http://www.gbpuat-tech.ac.in,"College of Technology, GBPUA&T, Pantnagar - 263145,rnINDIA"
"IIIT Bangalore Contact Number, Address & Location Map, Bengaluru",+91-8041407777,info@iiitb.ac.in,http://www.iiitb.ac.in/,"IIIT-Bangalore,26/C, Electronics, City, Hosur Road, Bangalore, 560100"
"G.H. Raisoni College of Engineering & Management (GHRCE&M) Contact Number, Address & Location Map, Pune",+91-9604787185,ghrcem.pune@raisoni.net,https://ghrcem.raisoni.net/,"New Gat No. 1200 , Domkhel Road , Wagholi , Pune 412207, Maharashtra State, India"
"Acharya Institutes (AI, Ai Bangalore), Bangalore Contact Number, Address & Location Map, Bengaluru",+91-80-2372 2222,admission@acharya.ac.in,http://www.acharya.ac.in,"Acharya Dr. Sarvepalli Radhakrishnan Road Acharya PO, Soladevanahalli Bangalore-560 107, India"
"Jagannath University Contact Number, Address & Location Map, Jaipur",+91-141-3020500,admission@jagannathuniversity.org,http://www.jagannathuniversity.org,"IP-2 & 3, Phase IV,Sitapura Ind. Area, Opp. Chokhi Dhani,Jaipur, Pin 302022."
"NIMS University Contact Number, Address & Location Map, Jaipur","+91-9116010414, +91-7412077155, +91-9116010433",admissions@nimsuniversity.org,http://www.nimsuniversity.org,"NIMS UNIVERSITY RAJASTHAN Jaipur-Delhi Highway (NH-11C), Jaipur 303121, Rajasthan, INDIA"
"Bangalore Institute of Technology Contact Number, Address & Location Map, Bengaluru",+91-080-266158,principalbit4@gmail.com,http://bit-bangalore.edu.in/,"K.R. ROAD , V V PURAMrnBANGALORE-560004rnINDIA"
"GMR Institute of Technology Contact Number, Address & Location Map, Srikakulam","+91-8941251592,+91-8941251591",gmrit@gmrit.org,http://www.gmrit.org/,"GMR Nagar, Rajam - 532 127, Srikakulam district, Andhra Pradesh"
"Ramaiah University of Applied Sciences Contact Number, Address & Location Map, Bengaluru",+91-8045366616,am.er@msruas.ac.in,http://www.msruas.ac.in,"University House, Gnanagangothri Campus New BEL Road, M S R Nagar, Bangalore Karnataka, INDIA - 560 054"
"University of Engineering & Management (UEM), Jaipur Contact Number, Address & Location Map, Jaipur","+91-9887313330, +91-9887933330",admissions@iemcal.com,http://www.uem.edu.in,"Gurukul,'Jaipur-6 Kms. From Chomu on Sikar Road (NH-52), Jaipur-303807, Rajasthan"
"Manipal Institute of Technology Contact Number, Address & Location Map, Manipal",+91-9243777733,admissions@manipal.edu,http://manipal.edu/mit.html,"Director, Admissions manipal.edu, Manipal 576104, Karnataka, India"
"GHRCE Nagpur Contact Number, Address & Location Map, Nagpur","+91-9689903286, +91-9921008612, +91-9921008391",info.ghrce@raisoni.net,http://www.ghrce.raisoni.net,"CRPF Gate No.03, Hingna Road, Digdoh Hills, Nagpur-16"
"NIT Agartala Contact Number, Address & Location Map, Agartala",+91-381-2546630,nitaedc@gmail.com,http://www.nita.ac.in/,"P.O.: Former Tripura Engineering College, Barjala, Jirania, Agartala, Tripura, India-799055"
"KJ Somaiya College of Engineering Contact Number, Address & Location Map, Mumbai",+91-22-66449191,enquiry@engg.somaiya.edu,http://www.kjsce.somaiya.edu,"K. J. Somaiya College of EngineeringVidyanagar, Vidyavihar(E), Mumbai - 400 077, Maharashtra."
"NIT Arunachal Pradesh Contact Number, Address & Location Map, Papum Pare",+91-0360-2284801,nitarunachal@gmail.com,http://www.nitap.in/
"NIT Raipur Contact Number, Address & Location Map, Raipur",+91-771-2254200,registrar@nitrr.ac.in,http://www.nitrr.ac.in/,"National Institute of Technology  Raipur G.E. Road, RaipurChhatisgarh - 492010"
"NIT Jamshedpur Contact Number, Address & Location Map, Jamshedpur",91-657-2407614,director@nitjsr.ac.in,http://nitjsr.ac.in/,"NIT Campus, P.O .RIT, Jamshedpur, Jharkhand, India- 831015"
"GITAM (Deemed To Be University) (GITAMST), Hyderabad Contact Number, Address & Location Map, Hyderabad",+91-8455221311,tnp.director@gitam.in,http://www.gitam.edu/hydgst,"GITAM University, Rudraram Village Patancheru Mandal, Medak District, Hyderabad - 502329"
"NIT Calicut Contact Number, Address & Location Map, Calicut",+91-495-2286602,nitc@gmail.com,http://www.nitc.ac.in,"NIT Campus P. O., Calicut, Kerala, India, Pin - 673 601"
"USICT Contact Number, Address & Location Map, Delhi",+91-1125302702,wardenshivalik@ipu.ac,http://www.ipu.ac.in/usict/,"(EFR - 204, EFR - 206) , Guru Gobind Singh Indraprastha University , Sector 16-C, Dwarka , New Delhi 110078 (India)"
"RGIT Mumbai Contact Number, Address & Location Map, Mumbai",022-26714045,udhav.bhosle@mctrgit.ac.in,http://mctrgit.ac.in,"uhu Versova Link Road,Behind HDFC BANK VERSOVA, Andheri(West),Mumbai - 400 053"
"Coimbatore Institute of Technology Contact Number, Address & Location Map, Coimbatore",+91-0422-2574071,principal@cit.edu.in,http://www.cit.edu.in/,"Civil Aerodrome Post, Coimbatore, Tamilnadu, India - 641 014"
"Maharaja Agrasen Institute of Technology Contact Number, Address & Location Map, New Delhi",+91-1165647742,mait@mait.ac.in,http://www.mait.ac.in/,"MAIT, PSP Area, Plot No. 1, Sec-22, Rohini, Delhi-110086, India"
"Maharaja Surajmal Institute of Technology Contact Number, Address & Location Map, New Delhi","25528117, 25552667",director@msit.in,http://www.msit.in/,"C-4 Janak Puri, New Delhi-110058"
"DYPCOE Pune Contact Number, Address & Location Map, Pune",+91–20–27653054 / 58,principal@dypcoeakurdi.ac.in,https://www.dypcoeakurdi.ac.in/,"D. Y. Patil College of Engineering, D. Y. Patil Educational Complex, Sector 29, Nigdi Pradhikaran, Akurdi, Pune 411044."
